"hit:word","hit_count"
"een lijvig eindrapport opgeleverd over","1"
"de digitale media belicht worden","1"
"Het Amsterdamse taaltechnologiebedrijf Textkernel heeft","1"
"de Multiculturele Samenleving van de","1"
"de belangrijkste juridische regels van","1"
"een ruime belangstelling . Het","1"
"de menselijke communicatie te subtiel","1"
"de perfecte vertaling af te","1"
"de diverse aspecten van de","1"
"een eigen projectvoorstel , '","1"
"een technische studie waarin de","1"
"de essentiële gegevens uit een","1"
"het administratieve en commerciële proces","1"
"de technische informatica hebben gehad","1"
"het interdisciplinaire veld van de","1"
"de handmatige invoer . Zie","1"
"Een nieuwe studie die leidt","1"
"het normale gesprekstarief . De","1"
"een intensieve samenwerking op het","1"
"de technische maar ook om","1"
"de maatschappelijke en culturele context","1"
"de buitenlandse tekst , herhaalt","1"
"het Vlaamse taaltechnologiebedrijf Language &","1"
"de andere onderwerpen die in","1"
"de nieuwe website van L&C","1"
"de verschillende Europese lidstaten ,","1"
"het volledige rapport in gedrukte","1"
"de menselijke en maatschappelijke kanten","1"
"het huidige aanbod , en","1"
"Het volledige rapport ( 90","1"
"de volledige werktijd . De","1"
"een extra dienst van Vakantietaal.nl","1"
"de technische informatica afstudeertrajecten .","1"
"de Amerikaanse overheid voor het","1"
